연번,관광지명,주소,위도,경도,문화재구분,문화재번호,전화번호,관광테마,주차장 여부,주차 대수,기타_홈페이지 주소,상세내용
142,금산,경상남도 남해군 상주면 남해대로 918-13,34.7396524,127.984078,관광지,,055-860-5800,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로, 단체",Y,,,"금산의 원래 이름은 보광산이었다. 원효스님이 신라 문무왕 3년(663년)에 이 산에 보광사를 창건하면서 그렇게 이름을 붙였다. 금산이란 이름은 조선 건국 이전에 이성계가 조선의 개국을 앞두고 보광산에서 1백일간 기도를 올렸는데, 조선이 자신의 뜻대로 개국되자 그 보답으로 산을 온통 비단으로 덮겠다고 한 것에서 유래한다."
143,사촌해수욕장,경상남도 남해군 남면 남면로1229번길 44,34.7435264,127.8563633,관광지,,055-860-3371,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",Y,300,,"모래가 많다는 뜻에서 ""사촌""이라 불리는 사촌모래마을에 자리한 작은 해수욕장. 파스텔 톤의 해질녘 풍경을 바라보며 여유를 즐기기 좋은 한적한 곳이다."
144,두곡·월포 해수욕장,경상남도 남해군 남면 남면로111번길 77,34.767302,127.9057443,관광지,,055-860-3371,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도",Y,,,"두곡마을과 월포마을, 두 마을이 바다를 사이좋게 반반나눠 가진 해수욕장. 방품림으로 조성한 숲과 몽글몽글한 몽돌과 새하얀 모래가 함께 어우러진 아름다운 해변이다."
145,송정솔바람해변,경상남도 남해군 미송로483번길 4-69,34.722207,128.0238466,관광지,,055-867-3371,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도",Y,,,특색 있는 남국의 정취를 지닌 환경적으로 완벽한 해수욕장이다. 부드러운 백사장과 송림을 배경으로 자리 잡고 있으며 자연경관이 수려하다.
146,상주은모래비치,경상남도 남해군 상주면 상주로 17,34.7215868,127.9883505,관광지,,055-860-3371,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도",Y,,https://sangjubeach.com/,"남해에서 가장 빼어난 풍경을 가진 해수욕장으로(백사장 길이 1.5km, 폭 120m) 부채꼴 모양의 해안 백사장, 눈앞에 펼쳐진 작은 섬들은 바다를 호수 모양으로 감싸고 있으며 파도가 잔잔하고 수온이 따뜻하여 가족단위의 피서지로 일품이다."
147,남해대교와 노량대교,경상남도 하동군 금남면 노량리,34.9517025,127.8776251,관광지,,1588-3415,,Y,,,"남해대교는 길이 660m, 높이 80m의 현수교로 1973년 개통된 지 40여년이 지난 지금도 우리나라에서 가장 아름다운 다리로 일걸어지고 있다. 노량대교는 남해대교를 대체할 교량으로 2018년 9월 13일에 개통되었다. 길이는 남해대교보다 1.5배 긴 990m에 이르며 높이는 148.5m로 세계 최초로 경사 주탑과 3차원 케이블 방식의 첨단기술이 적용되었다."
148,남해 지족해협 죽방렴,경상남도 남해군 삼동면 죽방로 65,34.8312904,127.9957367,관광지,명승 제71호,055-867-2662,,Y,,,원시성이 그대로 살아 있는 죽방렴은 길이 10m 정도의 참나무로 된 말목을 갯벌에 박아 그 사이에 대나무를 주렴처럼 엮어 만든 어업 도구이다. 물의 조류가 흘러오는 방향을 햐해 V자형으로 벌려 고기를 잡는 죽방렴은 남해 지족해협에 23개소가 남아 있다.
149,스페이스 미조,경상남도 남해군 미조면 미조로 254,34.7092009,128.0462987,관광지,,055-860-8615,,Y,,,"옛 ""미조북항 냉동창고""가 재생사업을 통해 지역대표 문화예술공간으로 다시 태어났다. 설치미술에서부터 전시장, 공연장, 예술창작 공간, 예술인 레지던시 등 지역 예술가들에게 다양한 창작자를 잇는 구심점 역할을 수행할 예정이다."
150,남해충렬사,경상남도 남해군 설천면 노량리 350,34.9419291,127.8761617,관광지,사적 제233호,055-862-2840,,Y,,,이순신 장군이 잠시 초빈되었던 곳에 가묘를 조성했으며 우암 송시열이 짓고 송준길이 쓴 이충무공묘비가 세워져 있다.
151,창선삼천포대교,경상남도 사천시 대방동 681-9,34.9324615,128.0521049,관광지,,055-867-5238,,Y,,,한국 최초로 섬과 섬을 연결하는 교량으로 남해 창선도와 삼천포 사이 3개의 섬을 연결하는 5개의 교량이 총연장 3.4km에 이르게 조성되어 있다.
152,창선단항왕후박나무,경상남도 남해군 창선면 대벽리 670-4,34.9161463,128.0125206,관광지,천연기념물제299호,055-860-8631,,N,,,추정 수령 500년의 왕후박 나무로 멀리서 보면 마치 작은 동산으로 착각을 불러일으킬 정도로 위풍당당한 자태를 뽐낸다.
153,남해어부체험,경상남도 남해군 이동면 남해대로 1553번길 29-10,34.7637397,127.9485376,관광지,,,,Y,,,"빛과소금펜션, 3시간 소요, 준비물 포함"
154,어부체험(선명 아르고호),경상남도 남해군 이동면 남해대로 1539-4 원천항,34.7641364,127.9486466,관광지,,,,Y,,,"3시간 소요, 선상낚시+통발어부체험"
155,남해 보물섬 전망대,경상남도 남해군 삼동면 동부대로 720,34.769833,128.0533244,관광지,,0507-1377-0047,,Y,,,
156,남해내산플레이랜드,경상남도 남해군 삼동면 금암로 373,34.7735036,128.0167708,관광지,,055-867-4377,,Y,,,
157,이순신영상관,경상남도 남해군 고현면 남해대로 3829,34.9119328,127.8559065,관광지,,055-860-3786,,Y,,,
158,남해천단조각공원,경상남도 남해군 설천면 설천로 17번길 32-67,34.9248248,127.9140253,관광지,,055-863-4474,,Y,,,
159,남해대교유람선해상랜드,경상남도 남해군 설천면 노량로 177,34.9412947,127.8728894,관광지,,055-862-9842,,Y,,,
160,남해 세심사 금동여래입상,경상남도 남해군 창선면 흥선로 767-28,34.8848294,128.0474254,유형문화재,유형문화재 제600호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,,,"남해 세심사 금동여래입상은 알맞은 신체비례와 도드라진 U자형의 옷주름, 귀꽃과 다양한 문양으로 장식된 대좌, 오른손을 내리고 왼손을 올린 좌우가 바뀐 수인 등이 특징이다. 세심사 금동여래입상의 제작시기는 장식화 경향이 뚜렷해지는 9세기 작품으로 판단되며 광배가 없어졌고 얼굴은 많이 마모되었지만 통일신라의 시대적 특징을 잘 나타내고 있는 불상이다."
161,남해 해관암 아미타삼존도 및 복장유물 일괄,경상남도 남해군 삼동면 양화금로 214-24,34.8195956,128.0530613,문화재자료,문화재자료 제577호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",Y,,,"규모가 작지만 작품성이 뛰어난 19세기의 작품. 남해 해관암‘아미타삼존내영도’는 해관암 대웅전 전당 후불탱으로 모셨던 불화로, 오랜 세월 습기 피해로 퇴색된 상태이다. 유리를 정착하지 않은 상태로 수장고에 보관하고 있으며 견본 채책 불화로서 학술적 예술적 가치가 있다. 조성 과정과 작자는 미상이나 성보로서‘아미타삼존내영도’는 해관암 창건 때부터 법당에 모셔져 있던 탱화로 고려시대에서 조선 초기로 전해지는 양식을 띠고 있어 역사성이 돋보인다. 이 작품은 불화와 복장물의 양식에 미루어 19세기에 제작된 것으로 본존인 아미타불이 정면관에 녹색의 연화좌를 밟고 서서 구품인을 결하고 있다. 좌·우 협시보살들은 본존 쪽으로 3/4 측면관에, 관세음보살은 정병을, 지장보살은 석장을 쥐고 왼손에 보주를 든 채 역시 답할좌 모습으로 묘사되고 있다. 필력이 있는 가는 필선을 사용하여 신체 부위를 중첩되게 표현하고 있는 등 규모가 작지만 작품성이 상당히 뛰어나다. 견본 채색화로서 패널형 액자로 제작되어 있다. 복장유물은 10건 24점이다."
162,남해 화방사 향완,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제509호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정男, 효도, 나홀로",Y,,,"18세기 전반의 작품으로 추정되는 공양용 도구. 그릇 모양의 몸체에 나팔모양의 높은 받침대가 있는 완형향로를 향완이라고 한다. 병향로가 승려들의 행렬에 주로 쓰인 반면, 향완은 주로 공양용으로 쓰였다. 이 작품은 조선 후기의 작품으로 추정되며 불전에 분향 도구로 사용되어 온 일종의 불구이다. 뚜껑이 없는 형식으로 고려 후기부터 유행되었던 대형 향로에 속한다. 절대 연대는 기명이 없으나 18세기 전반기의 작품 기법이 엿보이는 보호 대상 성보이다."
163,남해 화방사 삼재부 목판,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제510호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 우정女, 우정男, 나홀로",Y,,,"삼재(三災)가 드는 새해에 심재 소멸을 기도하는 비보용 목판으로 귀한 자료이다. 이 삼응목판(三鷹木板)은 육십갑자 중 십이간지를 네 묶음(甲子辰,寅午戌, 巳酉丑, 亥卯未)으로 분류하여, 한 묶음의 띠에 해당하는 나이가 삼재(三災)에 해당하는 새해가 되면 이 삼재 소멸을 위해 기도하며, 그 비보용으로 이 삼응판을 인출 탁삼재(啄三災)라는 제호를 낙관하여 액자를 만들어 출입문 위에 걸었던 것이다. 흔하지 않은 자료라 보존 가치가 높다."
164,남해 화방사 원패,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제508호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로",Y,,,"원패1에는 주색 바탕에 황색으로 삼계사부군진(三界四府群眞), 원패2에는 검정 바탕에 흰 글씨로 조선독립만세(朝鮮獨立萬歲)라 쓰여있다. 원패1은 패두와 패신에 봉황과 구름이 조각되어 있고, 연화좌대와 분리되어진다. 패두의 봉황은 향좌를 바라보고 패신의 봉황은 아래를 향하고 있다. 좌대는 주색으로 채색되어 있고, 봉황은 녹색, 백색, 적색 황토 등으로 채색되어 있으나 많이 바랜 상태이다. 원패2와 달리 패의 앞뒷면이 분리되어지지 않는다. 원패2는 패두와 패신에 용과 구름이 조각되어 있다. 연화좌대와 패신은 연결되어 있어 분리되지 않고 패의 전면과 배면은 분리될 수 있게 되어 있다. 패두의 용은 향좌의 용은 위로 향우의 용은 아래로 향하고 있다. 패두와 패신이 따로 조각되어 연결된 형태로 패의 전면과 배면은 못으로 연결되어 있다. 조각 후 백색, 녹색, 주색 황색 등으로 채색되었다. 원패1과 원패2의 조각기법을 비교해 볼 때 원패1이 선적인 표현이 더 많고 먼저 제작된 것으로 보인다."
165,남해 화방사 부도,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제507호,055-860-8631,"봄, 여름, 가을, 자가용/렌트, 친구, 연인, 우정女, 우정男, 효도, 나홀로",Y,,,"화방사 경내로 들어오는 일주문을 지나 약 20~30m 올라오면 왼쪽 산사면에 위치해 있다. 석조형 부도로 이끼가 전체적으로 덮혀 있으며, 앞쪽 기단면은 완전히 드러나 도괴의 위험도 있어 보인다. 부도의 특징을 보면, 기단·탑신·상륜부 3부로 구분되었으며, 탑신과 상륜은 일석이다. 기단은 치석하여 2단으로 만들고 탑신이 놓이는 기단 상면은 복엽 연판으로 돌려 장식했다. 연봉형 상륜 아래로는 크고 대담한 7개의 연판으로 장식된 것처럼 보이는데, 문양을 자세히 보면 연잎을 서로 대칭으로 말아 연판 같은 효과를 내고 있는 것이 특징이다."
166,남해 화방사 시루,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제500호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 효도",Y,,,떡이나 밥을 찌는 데 사용하는 황동 시루. 고찰에 유존하는 시루의 사례는 많지 않다. 화방사 시루는 조선 후기 사찰에서 제작되었던 시루의 전형을 간직하고 있는 유물로 조성 당시의 사세(寺勢)를 파악 할 수 있는 자료이다. 약간 비스듬히 외반된 구연부 배면에‘花芳寺 西庵 ------’점각이 남아 있는 것으로 저부가 투각형으로 주조된 것은 도기로 제작된 것과는 차원이 월등히 높은 것이다. 투각된 시루는 열기의 소통 전달이 그만큼 빠르기 때문에 떡이나 밥을 익혀 내는 시간 단축은 물론 정확도가 높기 때문이다. 점각 기록의 예를 보면 동제 향로나 반자 같은 데에도 18세기 초를 전후한 시기에 볼 수 있는 기법이다. 따라서 조선 후기 동제 집기연구에 자료적 가치가 있음을 증명해 준 유물이다.
167,남해 화방사 바라,경상남도 남해군 고현면 화방사길 128-6,34.8645862,127.8629452,문화재자료,문화재자료 제499호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 우정女, 우정男, 효도, 나홀로",Y,,,"두 개를 맞부딪혀 소리를 내는 승무용 악기. 불교의식 법구의 하나로 17세기에 제작되었으나 2쌍 모두 놋쇠를 두들켜 만든 전통적인 방짜유기의 제작기법을 잘 보여 주고 있다. 양손에 들고 맞 부딪혀서 소리를 내게 하는 승무용 악기이다. 주로 야단법석 전에서 수륙재나 영산재 같은 특별한 행사시에 사용하는 불구로서 양질의 재료를 사용하였음을 느끼게 한다. 1694년(康熙 33년)에 제작된 역사성이 뚜렷한 작품으로 손잡이를 이용하여 양손에 들고 사용하는 것인데 현재는 손잡이가 훼손 결실상태이며, 동체만은 1쌍 모두 조금도 훼손없이 양호한 상태로 보관 관리되고 있다."
168,남해 화방사 독성탱,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제498호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로",Y,,,"여타의 고승 진영 작품과 비교해 19세기 초반의 작품으로 추정된다. 배경의 산수 처리기법이 원형 화문으로 시문된 점은 독특하며 민화적인 요소가 엿보이는 작품으로 향후 고승 진영이나 민화, 독성탱 연구적 자료 가치가 있다. 이 독성탱은 일명 나반존자라고도 칭하며 미래에 사바세계에 출현할 미륵존불을 기다리며 천태산상에서 독수선정에 들어 있는 독성을 묘사한 불화이다. 화기에 연화질의 명기를 생략한 상태를 보아 지장시왕탱 조성과 동시에 조성된 것으로 추정되며, 이는 1855년(咸豊5년)의 작품으로 보인다. 약간의 훼손은 되었으나 비교적 양호한 상태로 수장고에 보관·관리되고 있다."
169,남해 화방사 신중탱,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제497호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 효도, 나홀로",Y,,,"화면 상단에는 제석천을 화면 하단에는 동잔보살을 중심으로 화면좌우에 용왕 및 협시 권속들을 배치하고 있다. 전체적으로 어두운 적색, 녹색, 남색이 주조색을 이룬다. 의습선은 정두철선묘를 사용하고 부분적으로 금색 세선으로 이중선을 그은 것이 특징적이다. 이 신중탱은 아미타 후불탱과 같이 1860년(咸豊10년. 庚申) 고성 와룡산 운흥사에서 관음존상 개금불사와 동시에 쌍운, 금담 금어에 의하여 조성되어 아미타 후불탱과 같이 화방사로 이봉된 이래 지금까지 보존되어온 것으로써 조선 후기 신중도 연구에 자료적 가치가 있다. 아미타 후불탱과 같이 약간의 퇴색 상태이나 유리액자로 보호하여 수장고에 보호하고 있다."
170,남해 화방사 아미타삼존탱,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제496호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로",Y,,,이 탱화는 인법당이나 승방에 원불로 모시기 위하여 조성된 것으로 두광과 신광을 갖춘 아미타불을 주존으로 상단 좌우에는 가섭과 아난존자를 배치하고 아래쪽 좌우에는 관음과 지장보살을 묘사하고 있다. 비교적 단조로우면서 함축성이 돋보이는 아미타 삼존탱이다. 1860년 (咸豊10년. 庚申)에 정수 금어에 의하여 조성된 화기가 비교적 상세하게 남아 있다. 조선 후기 아미타 삼존탱 연구에 자료적 가치가 있다. 약간 퇴색 상태이나 박락은 심하지 않으며 화방사 수장고에 보관·보존되고 있다.
171,남해 화방사 아미타후불탱,경상남도 남해군 고현면 화방사길 126-6,34.866452,127.8626468,문화재자료,문화재자료 제495호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로",Y,,,"원 바탕은 오랜 세월 동안 습기의 피해로 퇴색 상태이나 약간의 보수(유리액자)를 거쳐 수장고에 보관하고 있다. 아미타 후불탱은 1860년(咸豊10년. 庚申)에 고성 와룡산 운흥사에서 관음존상 개금불사 시에 쌍운·영담 금어에 의하여 조성되고 화방사로 이봉된 내용이 화기에 남아 있다. 19세기 중반에 조성된 아미타 회상도로서 시대적 특징은 역력하며, 앞으로의 보다 안전한 보존관리를 위하여 수장고에 보관하고 있다. 의습선이나 구름 등의 표현에 있어서 돋을기법을 사용한 것이 특징적 이며 아미타 회상도 연구에 자료적 가치가 있다 ."
172,남해 용문사 건양2년 신중탱,경상남도 남해군 이동면 용문사길 166-11,34.7879404,127.9230404,문화재자료,문화재자료 제353호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로",Y,,,"화면 하단 중앙에 위태천을 중심으로 12신장상을 배치하고, 상단에는 범천과 제석천을 좌우측에 배치하고, 그 주위에 천녀·천동과 제권속들이 둘러싼 모습이다. 색채는 주로 백색·적색외에 녹색과 청색을 사용하였다. 위태천·범천·제석천의 육신부는 백색에 붉은색이 약간 감도는 분홍색을 바르고, 부분적으로 담묵을 사용하여 음영을 표현하였으며, 윤곽은 먹선으로 처리하였다. 위태천은 갑옷을 입고 날개 달린 투구를 썼으며, 갑옷 위에 표범무늬의 털가죽을 걸치고 있다. 가죽 표현은 담갈색을 바른 뒤 담묵으로 범피문을 표현하고 얇은 백색선과 흑색선으로 가장자리를 둘렀다. 범천·제석천상은 천부상의 착의를 하고, 어깨에 각각 녹색과 청색의 천의를 걸치고 있다. 그리고 착의 표현에 있어 몰골법으로 문양이나 주름, 매듭을 표현하여 입체감을 주었다. 또한 하단부의 구슬장식 문양이나 갑옷에는 안료를 실제 구슬장식처럼 두텁게 발라 입체감있게 표현하였다. 본 작품은 현재 상태가 다소 양호하지 못한 편이나, 1897년(건양 2)에 조성된 작품으로, 19세기 신중탱화로서 규모(세로194.5cm, 가로 213.5cm)가 비교적 큰 편이고, 작품제작에 많은 사람이 관여하였으며, 조형성이 뛰어나다."
173,남해 양아리석각,경상남도 남해군 상주면 보리암로 693,34.7521641,127.9766483,기념물,기념물 제6호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 나홀로",Y,,,"진시황의 방사 서복이 불로초를 찾아온 흔적. 일명‘서불과차(徐市過此)’라고 불리는데 지금까지 해독을 하지 못하여 내용은 알 수 없다. 전해오는 이야기로는 중국 진시황때 삼심산 불로초를 구하기 위해 방사 서불이 동남동녀 3천 명을 이끌고 동쪽으로 오던 중 이곳 금산을 찾아와서 사냥을 즐기다 떠나면서 자신들의 발자취를 후세에 남기기 위해 새긴 것이 라고도 한다. 후대인들은 해독하지 못한 서불 관련 남해 암각화(岩刻畵. 또는 문)를 여러 형태로 분석하고 있다.『남해도』의 저자 이청기는 거란족 문자설, 인도의 데세판데 박사는 수렵선각설, 최남선은 고대문자설, 정인보는 선사시대 각석설, 한국정신문화연구원에서는 선사 석각화설, 오세창은 중국의 금석학자 하추도가 해석한 서불기례일출설을 주장하고 있다. 그리고 화상문자, 그림문자, 새모양선화, 추상선각, 한웅출렵삼신치제문, 귀인사냥터, 서불제명 등으로 해석하기도 한다. 하지만 아직까지 어떤 내용인지 정확하게 밝혀지지 않고 있다."
174,남해 용문사 목조지장시왕상,경상남도 남해군 이동면 용문사길 166-11,34.7879404,127.9230404,유형문화재,유형문화재 제426호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로",Y,,,"지장보살과 사후세계를 주관하는 10명의 대왕상. 두부가 민머리인 지장보살상은 상반신을 곧게 세워 결가부좌한 모습으로, 전체적으로 양감 있고 건장한 모습이다. 신체적 특징은 무릎이 높고 상저전후경(像底前後徑)이 넓으므로 불신의 안정감을 더해준다. 상호는 사각형에 가까우며 살집이 있고 턱 부위를 모나지 않게 표현하여 부드러운 느낌을 준다. 좌협시 도명존자는 오른손에 석장을 쥐고, 우협시 무독귀왕은 합장을 한 채 각각 시립하고 있다. 신체에 비해 머리가 큰 편이며 어깨가 넓어 당당해보이고 온화한 인상이다. 시왕상들은 모두 등받이와 팔걸이, 족좌가 있는 의자에 앉아 정면을 향한 자세이며, 표현기법은 거의 동일하다. 두부에는 무독귀왕상과 같은 원류관 형태의 관을 쓰고 있으며, 손에는 홀을 쥔경우, 책과 붓을 들고 있거나 손을 무릎 위에 걸친 다양한 모습이다. 얼굴은 입꼬리가 올라간 상태에서 백색 치아를 드러내어 익살스럽게 웃는 모습은 매우 해학적이다."
175,국사봉 사당,경상남도 남해군 창선면 적량리 산4-1,34.8741137,128.0391825,군보호문화재,군보호문화재 제5호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 우정女, 우정男, 나홀로",Y,,,"적량첨사가 국가의 번창을 비는 예를 올린 장소. 적량마을 뒤 북쪽 212m의 국사봉 상봉에 목조로 된 한 칸 와가 건물이 2평 정도로 자리 잡고 있다. 이 사당은 적량 첨사가 건립하여 음력 12월 말일에 국가의 번창과 국왕의 평안을 비는 예를 올렸던 곳이며, 북방 예배 시 사용하는 기물을 보관하였던 곳으로 조선 중종 30년(1535)에 건립된 창고였으나 속칭 사당이라고도 한다. 첨사가 없어지면서 적량마을 동민들이 제사례를 국사봉 사당에서 지냈다. 이곳은 동리의 평안을 빌고 수호해 주는 수호신을 모시는 곳으로 변모하였다. 섣달 그믐날 12시(자시)에 마을에서는 전례에 따라 선출된 제관들이 오랜 세월동안 마을을 지켜 주었다는 믿음으로 정성을 다하여 동제를 모시고 있는 곳이다."
176,영모문,경상남도 남해군 남해읍 화전로43번길 2,34.8351121,127.8945478,군보호문화재,군보호문화재 제4호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 우정女, 우정男, 나홀로",Y,,,"효자 김백렬의 효행을 기리는 정려문. 영모문은 효자 김백렬의 효행을 남기기 위한 정려문이다. 효자 김백렬(金栢烈, 1873~1917)의 호는 운천(雲川)이다. 통정대부인 휘(諱) 원주(元柱), 호 수암(壽巖)의 셋째 아들로 태어나 어려서부터 총명하여 글 읽기를 좋아하였다. 평소에 성훈을 받들어 스스로 실천함에 있어 한 치의 소홀함도 없었고, 지극한 정성으로 부모를 섬김에 만고의 효자로 칭송이 자자하였다. 경상도 관찰사 황철이 그 소문을 듣고 그 실정을 알고자 1909년에 이곳을 방문하여 비단에 ‘금난선배효자 김백렬씨’라고 자필로 표창하였고, 마을 유림에서는 특별 장의로 천거하여 후세에 본을 보게 표창하였으며, 십여 차례 효행 표창 등으로 세상에 널리 알려졌다. 이 정려(旌閭)는 그의 효행을 오래도록 기리기 위하여 1925년 9월에 공사를 시작하여 그 이듬해 10월에 준공하였다. 그 이후로 영모문이 있는 거리를 효자문 삼거리로 부르고 있으며, 그의 효행이 많은 사람들 가슴에 전해지고 있다."
177,봉천사 묘정비,경상남도 남해군 남해읍 남해대로 2745 남해유배문학관 내,34.8323041,127.8999851,군보호문화재,군보호문화재 제3호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 우정女, 우정男, 나홀로",Y,,,"남해로 두 번 유배 온 소재 이이명을 기리는 비. 소재 이이명은 기사환국으로 영해로 유배되었다가 장인인 서포 김만중이 남해 유배지에서 세상을 떠나자 숙종 18년(1692)에 남해로 이배되었다. 1721년(경종 원년)에 경종이 병약하여 왕세자인 영조의 대리청정을 추진하다가 소론의 반대로 실패하게 되자 남해로 안치되었다. 유배된 이이명은 29년 전에 유배 왔던 집을 수리하여 향사들에게 효제충신(孝悌忠信)의 학문을 가르쳤다. 남해에서 유배생활을 하는 이이명이 역모를 꾸며 남해에서 왕으로 추대 되었다는 목호룡(睦虎龍)의 모함으로 체포되어 한양으로 압송되던 중 1722년 한강진에서 사사되었다. 이 사실을 안 남해향사들은 어버이를 잃은 듯 슬퍼하였다. 1800년(정조 24)에 남해의 향사들이 진주 사람들과 힘을 모아 이이명이 남해에서 머물던 습감재(習坎齋)의 옛터에서 2~3리 떨어진 곳에 사당을 지었고, 한양 노량진 사충당에 봉안하였던 영정을 가져와 모시고 봉천사라 하였다. 봉천사 묘정비는 김조순이 비문을 지었고 글은 김난순이 썼다. 묘정비는 사당이 만들어진 후 28년이 지난 1828년(순조 28)에 세워진 것이다. 이이명이 죽고 100여 년이 지난 후에 세워진 이 비는 봉천사 묘정에 있었던 것으로 보인다. 사당은 언제 없어졌는지 알 수 없고, 남해읍 북변리 430번지 야산에 있던 것을 남해유배 문학관으로 옮겼다. 총 높이 286㎝, 비신 높이 220㎝, 너비 83.4㎝, 두께 32.5㎝이다."
178,자암 김구 유허추모비,경상남도 남해군 설천면 노량로 183번길 27,34.9419198,127.875899,군보호문화재,군보호문화재 제2호,055-860-8631,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,,,"남해에 12년간 유배생활 중「화전별곡」을 지은 조선전기 4대 서예가 자암 김구를 추모하는 비. 자암 김구(金絿, 1488~1534)는 조선 중종 때 문신이며, 조선초기 4대 서예가의 한 사람으로, 대흥현감 계문의 아들이다. 김구의 자 대유(大柔), 호는 자암(自菴)이다. 자암은 1513년(중종 8)에 별시문과 을과에 급제하여 홍문관 부제학에 올랐으나, 기묘사화로 인하여 1519년(중종 14)에 개령으로 유배되었다가 수개월 후 죄목이 추가되어 남해로 이배되어 12년이란 긴 세월 동안 노량 적소에서 적거 생활을 하였다. 이때 남해찬가라 할 수 있는「화전별곡」을 경기체가로 지었고, 삼남 일대의 유림과 남해지역의 향사들과 가까운 교우관계를 가졌을 뿐만 아니라 특히, 가깝게 지낸 남해 향사의 인명도 『자암집』에 나온다. 자암 김구는 중종 28년(1533)에 사면되어 복관(復官)되었으나 이듬해인 1534년에 47세의 일기로 타계(他界) 했으며, 이조참판에 추증되었다. 자암 유허비는 숙종 30년(1704)에 김구의 6대 후손 김만화가 남해 현령으로 부임하여 조상의 흔적을 찾아 옛터에 유허비를 세우고, 서원 자리에 죽림서원을 세워 조상의 얼을 받들기 위해 위패를 봉안하고 배향하였으나, 죽림서원은 고종 원년(1864)에 대원군의 서당, 향사철폐령에 의거 훼철되었다. 비의 총 높이 276cm, 비신 높이 190cm, 너비 90cm, 두께 34cm이다."
